GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MTAS,mtas.codec,MtasFieldsProducer,103,257,4,10,21,54,9,11,6,7
MTAS,mtas.codec,MtasTerms,18,112,9,11,9,31,9,14,0,13
MTAS,mtas.codec,MtasCodec,42,81,4,6,12,28,8,10,4,9
MTAS,mtas.codec,MtasSimpleTextCodec,0,7,0,0,0,2,0,1,0,1
MTAS,mtas.codec,MtasCodecPostingsFormat,65,260,3,13,18,75,3,13,0,8
MTAS,mtas.codec,MtasFieldsConsumer,543,2821,76,190,65,645,75,80,1,21
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserMappingWordAnnotation,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasSketchParser.MtasSketchParserMappingWord,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserMappingCRMSentence,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserFunctionOutput,43,0,2,0,8,0,4,0,3,0
MTAS,mtas.analysis.parser,MtasTEIParser,22,0,0,0,9,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserType,3,44,0,0,1,15,1,7,1,7
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingWordAnnotation,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingWord,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasCRMParser,2135,0,198,0,380,0,111,0,12,0
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMAncestors,6,0,0,0,2,0,1,0,1,0
MTAS,mtas.analysis.parser,MtasParser,0,62,1,7,0,12,1,5,0,2
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingGroup,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserMappingToken,0,45,0,0,0,15,0,4,0,4
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserMappingCRMPair,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasSketchParser.MtasSketchParserMappingWordAnnotation,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasFoliaParser,0,22,0,0,0,9,0,2,0,2
MTAS,mtas.analysis.parser,MtasElanParser,22,0,0,0,9,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingRelationAnnotation,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserMapping,1498,1245,205,123,277,271,144,48,9,19
MTAS,mtas.analysis.parser,MtasSketchParser.MtasSketchParserMappingGroup,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserVariable,192,0,16,0,27,0,11,0,3,0
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingRelation,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasParser.MtasParserObject,135,308,19,19,32,83,22,35,8,30
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserVariableValue,9,0,0,0,4,0,1,0,1,0
MTAS,mtas.analysis.parser,MtasSketchParser,1180,0,124,0,214,0,68,0,6,0
MTAS,mtas.analysis.parser,MtasXMLParser,1290,1834,149,212,179,401,127,66,4,6
MTAS,mtas.analysis.parser,MtasBasicParser,1993,1685,360,202,388,356,221,85,6,19
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserFunction,11,0,0,0,4,0,1,0,1,0
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingGroupAnnotation,10,26,3,1,3,10,3,2,1,2
MTAS,mtas.parser.function,MtasFunctionParser.LookaheadSuccess,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.parser.function,MtasFunctionParser.JJCalls,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.parser.function,MtasFunctionParserConstants,68,0,0,0,1,0,1,0,1,0
MTAS,mtas.parser.function,MtasFunctionParser,1173,916,138,120,183,196,108,80,17,36
MTAS,mtas.parser.function,ParseException,360,0,33,0,65,0,26,0,6,0
MTAS,mtas.parser.function,Token,14,20,0,0,5,7,4,3,4,3
MTAS,mtas.parser.function,TokenMgrError,175,0,17,0,37,0,18,0,6,0
MTAS,mtas.parser.function,MtasFunctionParserTokenManager,366,701,82,71,84,149,62,45,7,14
MTAS,mtas.parser.function,SimpleCharStream,797,269,45,15,136,61,53,16,26,12
MTAS,mtas.codec.util,CodecComponent.ComponentFields,0,47,0,0,0,16,0,1,0,1
MTAS,mtas.codec.util,CodecInfo,523,647,56,48,116,134,47,28,10,13
MTAS,mtas.codec.util,CodecComponent.ComponentFacet,764,0,70,0,107,0,40,0,5,0
MTAS,mtas.codec.util,CodecInfo.FieldReferences,0,18,0,0,0,7,0,1,0,1
MTAS,mtas.codec.util,CodecComponent.Match,54,9,10,0,12,4,7,1,2,1
MTAS,mtas.codec.util,CodecComponent.GroupHit.new Comparator() {...},18,6,2,0,4,1,2,1,1,1
MTAS,mtas.codec.util,CodecComponent.ComponentList,162,0,16,0,39,0,9,0,1,0
MTAS,mtas.codec.util,CodecSearchTree.MtasTreeHit,57,27,0,0,6,10,2,1,2,1
MTAS,mtas.codec.util,CodecComponent,3,0,0,0,2,0,1,0,1,0
MTAS,mtas.codec.util,CodecCollector.TermvectorNumberBasic,0,14,0,0,0,4,0,1,0,1
MTAS,mtas.codec.util,CodecCollector.TermvectorNumberFull,0,14,0,0,0,5,0,1,0,1
